what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1745309343764
processors,sysinfo,,,"16",1745309343764
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1745309343764
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1745309343764
java.specification.name,sysinfo,,,"Java Platform API Specification",1745309343764
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1745309343764
java.specification.version,sysinfo,,,"1.6",1745309343764
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1745309343764
java.version,sysinfo,,,"1.6.0_23",1745309343764
java.vm.info,sysinfo,,,"mixed mode",1745309343764
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1745309343764
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1745309343764
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1745309343764
java.vm.specification.version,sysinfo,,,"1.0",1745309343764
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1745309343764
java.vm.version,sysinfo,,,"19.0-b09",1745309343764
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1745309343827
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1745309343954
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1745309344113
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1745309345385
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1745309345417
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1745309345417
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1745309348264
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1745309348937
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1745309348939
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1745309348939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309348999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309354853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1745309356748
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1745309359982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309361342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309362980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1745309373246
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1745309381057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309383628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309385534
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1745309386165
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1745309386177
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1745309388557
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1745309388895
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1745309388936
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 16",1745309391602
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --accept-bad-sysid, /cygdrive/c/Hung/Year3/HK2/CE433/SoC-SHA256/rtl/software/sha/sha.elf] return code: 16",1745309393933
error,log,,,"Downloading ELF Process failed",1745309393935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309393981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309399137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309400402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309476755
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1745309476898
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1745309477009
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1745309477406
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1745309483651
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1745309483651
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1745309483651
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1745309483651
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1745309483651
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1745309483651
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1745309483651
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1745309483651
